cod;nome;período;valor
23;CE;2012;44.63
22;PI;2012;16.61
21;MA;2012;26.47
17;TO;2012;26.73
16;AP;2012;36.22
14;RR;2012;30.67
13;AM;2012;37.43
12;AC;2012;27.41
11;RO;2012;33.08
26;PE;2013;33.92
27;AL;2013;65.07
23;CE;2013;50.95
22;PI;2013;18.78
21;MA;2013;31.84
17;TO;2013;23.61
16;AP;2013;30.61
15;PA;2013;42.72
14;RR;2013;43.85
13;AM;2013;31.28
12;AC;2013;30.14
11;RO;2013;27.95
28;SE;2013;43.95
29;BA;2013;37.85
53;DF;2013;30
43;RS;2013;20.8
41;PR;2013;26.7
24;RN;2013;42.89
35;SP;2013;13.82
33;RJ;2013;31.22
42;SC;2013;11.89
25;PB;2013;39.62
50;MS;2013;24.35
51;MT;2013;36.39
52;GO;2013;46.24
32;ES;2013;42.25
31;MG;2013;22.91
23;CE;2014;52.31
28;SE;2014;49.42
53;DF;2014;29.55
52;GO;2014;44.26
51;MT;2014;42.12
50;MS;2014;26.72
43;RS;2014;24.31
42;SC;2014;13.45
41;PR;2014;26.89
29;BA;2014;40.01
35;SP;2014;14.05
33;RJ;2014;34.74
32;ES;2014;41.42
31;MG;2014;22.78
22;PI;2014;22.45
21;MA;2014;35.94
17;TO;2014;25.45
16;AP;2014;34.09
15;PA;2014;42.68
14;RR;2014;31.79
13;AM;2014;32.01
12;AC;2014;29.36
11;RO;2014;33.06
25;PB;2014;39.33
26;PE;2014;36.19
27;AL;2014;62.78
24;RN;2014;47
13;AM;2015;37.38
14;RR;2015;40.15
15;PA;2015;44.95
22;PI;2015;20.29
23;CE;2015;46.75
24;RN;2015;44.88
25;PB;2015;38.32
50;MS;2015;23.91
51;MT;2015;36.84
26;PE;2015;41.16
27;AL;2015;52.33
52;GO;2015;45.34
28;SE;2015;58.09
53;DF;2015;25.46
21;MA;2015;35.31
16;AP;2015;38.22
11;RO;2015;33.93
12;AC;2015;27.01
17;TO;2015;33.2
32;ES;2015;36.9
41;PR;2015;26.3
29;BA;2015;39.54
31;MG;2015;21.72
33;RJ;2015;30.62
35;SP;2015;12.22
42;SC;2015;14.03
43;RS;2015;26.17
11;RO;2016;39.33
53;DF;2016;25.53
52;GO;2016;45.34
50;MS;2016;25.02
43;RS;2016;28.57
42;SC;2016;14.24
35;SP;2016;10.88
33;RJ;2016;36.38
32;ES;2016;31.96
31;MG;2016;22.01
29;BA;2016;46.94
28;SE;2016;64.66
27;AL;2016;54.18
26;PE;2016;47.26
25;PB;2016;33.88
24;RN;2016;53.35
23;CE;2016;40.63
22;PI;2016;21.82
21;MA;2016;34.63
17;TO;2016;37.64
15;PA;2016;50.85
14;RR;2016;39.67
13;AM;2016;36.28
12;AC;2016;44.45
16;AP;2016;48.7
41;PR;2016;27.4
51;MT;2016;35.7
52;GO;2017;42.8
25;PB;2017;33.31
24;RN;2017;62.82
23;CE;2017;60.23
53;DF;2017;20.07
51;MT;2017;32.95
50;MS;2017;24.29
43;RS;2017;29.29
42;SC;2017;15.23
41;PR;2017;24.37
35;SP;2017;10.27
33;RJ;2017;38.38
32;ES;2017;37.87
31;MG;2017;20.36
29;BA;2017;48.79
28;SE;2017;57.38
27;AL;2017;53.71
22;PI;2017;19.45
21;MA;2017;31.14
17;TO;2017;35.93
16;AP;2017;48.01
15;PA;2017;54.68
14;RR;2017;47.45
13;AM;2017;41.19
11;RO;2017;30.68
26;PE;2017;57.2
12;AC;2017;62.2
14;RR;2018;71.8
13;AM;2018;37.79
12;AC;2018;47.05
11;RO;2018;27.08
53;DF;2018;17.82
52;GO;2018;38.65
51;MT;2018;28.73
50;MS;2018;20.81
43;RS;2018;23.82
42;SC;2018;11.91
41;PR;2018;21.53
35;SP;2018;8.18
33;RJ;2018;37.62
32;ES;2018;29.33
31;MG;2018;16.03
29;BA;2018;45.82
28;SE;2018;49.73
27;AL;2018;43.37
26;PE;2018;44.12
25;PB;2018;31.13
24;RN;2018;52.46
23;CE;2018;53.99
22;PI;2018;18.96
21;MA;2018;28.17
17;TO;2018;36.65
16;AP;2018;51.36
15;PA;2018;53.19
42;SC;2019;10.71
43;RS;2019;19.2
50;MS;2019;17.67
51;MT;2019;25.69
26;PE;2019;36.35
25;PB;2019;23.72
24;RN;2019;38.38
23;CE;2019;26.47
27;AL;2019;33.41
28;SE;2019;42.33
29;BA;2019;41.13
31;MG;2019;13.67
22;PI;2019;17.38
21;MA;2019;24.08
17;TO;2019;28.99
16;AP;2019;42.68
15;PA;2019;39.58
14;RR;2019;38.63
13;AM;2019;38.41
12;AC;2019;36.85
11;RO;2019;25.15
52;GO;2019;32.1
53;DF;2019;15.92
35;SP;2019;7.32
32;ES;2019;25.95
33;RJ;2019;20.57
41;PR;2019;18.32
